vendor,bag_name,notes,details,size,price
Olympia,Sweetheart,"Dark Chocolate, Cherry, Hazelnut",['N/A'],12 oz,$20.00
Olympia,Big Truck,"Chocolate, Red Fruit, Cherry",['N/A'],12 oz,$18.50
Gimme,Mt Pleasant Fairtrade Organic,"Maple, Nutty, Pine","['Fair Trade, Certified Organic']",12 oz,$18.00
Coffee Manufactory,01 Espresso,"Dark Sugar, Mango, Cola","['Bourbon', 'Washed', '3000 - 5200 ft']",12 oz,$18.50
Square One,Deluminator Dark Roast,"Molasses, Smoky, Orange","['Washed', '1300 - 1700 ft', 'Central America', 'Nicaragua']",12 oz,$15.95
Square One,Sweet Street,"Cacao, Caramel, Molasses","['Washed', '1300 - 1700 ft', 'Central America', 'Nicaragua']",12 oz,$15.95
Thou Mayest,Boldly Go,"Dark Chocolate, Walnut, Rich","['Washed', '1300 - 1600 ft', 'Asia', 'Indonesia']",12 oz,$17.50
Doma,Summer Lovin,"Earl Grey, Red Apple, Orange Zest","['Heirloom', 'Washed', '1950 - 2150 ft', 'Africa', 'Ethiopia']",12 oz,$19.00
Portola,Alchemistic,"Baker's Chocolate, Dried Fruit, Roasted Almond",['N/A'],12 oz,$19.95
Iconik,Mexico (Medium Roast),"Almond, Caramel","['Washed', 'Central America', 'Mexico']",10 oz,$21.00
Gimme,Sumatra Ketiara Fairtrade Organic,"Brown Sugar, Cinnamon, Date","['Fair Trade, Certified Organic', 'Wet-hulled', '1200 - 1500 ft', 'Asia', 'Indonesia']",12 oz,$19.00
Gimme,Peru Sol Y Cafe Fairtrade Organic,"Clementine, Honeycomb, Vanilla","['Fair Trade, Certified Organic', 'Washed', '1200 - 2050 ft', 'South America', 'Peru']",12 oz,$16.00
Gimme,Stargazer Fairtrade Organic,"Almond, Chocolate, Raspberry","['Fair Trade, Certified Organic']",12 oz,$17.00
Upper Left,Espresso Blend,"Cherry, Chocolate, Apple Cider",['N/A'],10 oz,$16.00
Coava,Morro Dos Padeiros,"Chocolate, Clove, Cranberry","['Catuai', 'Honey', '800 - 1100 ft', 'South America', 'Brazil']",10.5 oz,$8.75
Proud Mary,Angel Wings,"Caramel, Orange",['Washed'],250 gr,$16.00
Proud Mary,Ghost Rider,"Milk Chocolate, Jammy, Blueberry","['Natural', 'Central America']",250 gr,$16.00
Bird Rock,Monkey Bite Espresso,"Brown Sugar, Apricot, Butterscotch",['N/A'],10 oz,$17.50
Coava,Lo Mejor de Monserrate,"Apricot, Bittersweet Chocolate","['Caturra', 'Washed', '1500 - 1700 ft', 'South America', 'Colombia']",10.5 oz,$19.00
